content,score,clean
mantaps,5,mantaps
bagus,5,bagus
"baik dalam pelayanan,dan ga tunggu lama langsung ger cep.oke pokonya.siiiiip👍",5,baik dalam pelayanandan ga tunggu lama langsung ger cepoke pokonyasiiiiip
bagus banget,5,bagus banget
klu kulineran kurang lengkap menu nya,4,klu kulineran kurang lengkap menu nya
sangat membantu,5,sangat membantu
ongkir kemahalan,3,ongkir kemahalan
so far so good,4,so far so good
keren,5,keren
udah nungguin makanan sejam GK tau nya GK dapet dapet driver suruh nganggur aja tu driver Klian klo pada males kerja,1,udah nungguin makanan sejam gk tau nya gk dapet dapet driver suruh nganggur aja tu driver klian klo pada males kerja
mantap 👍,5,mantap 
"Ini Apk. gue Uninstal. Kecewa banget! udah sering banget kecewa, Resto udah tutup tapi masih nerima pesanan. Drivernya tiba di Resto, resto udah tutup tanpa inform. Lu ngerugiin gue dan driver bangke😭",1,ini apk gue uninstal kecewa banget udah sering banget kecewa resto udah tutup tapi masih nerima pesanan drivernya tiba di resto resto udah tutup tanpa inform lu ngerugiin gue dan driver bangke
mantap pokoknya...,5,mantap pokoknya
"tolong dong, untuk customer, buat bisa review resto pakai gmbr kyk sebelah, biar gk cuma tulisan saja, biar ada bukti real gitu, sekalian buat customer jg bisa liat ratting pribadi yg dikasih driver, jgn cuma pihak driver saja yg bisa liat, makasih",5,tolong dong untuk customer buat bisa review resto pakai gmbr kyk sebelah biar gk cuma tulisan saja biar ada bukti real gitu sekalian buat customer jg bisa liat ratting pribadi yg dikasih driver jgn cuma pihak driver saja yg bisa liat makasih
oke banget pokoknya,5,oke banget pokoknya
good,5,good
gimana mesan gofood dari jam 5 sampe jam setenga 7 tau2 batal tidak dapat driver,1,gimana mesan gofood dari jam  sampe jam setenga  tau batal tidak dapat driver
"kenapa sih ada driver deket tapi gak nerima orderan saya? nungguin lama banget, gak ada yang nerima sama sekali.",2,kenapa sih ada driver deket tapi gak nerima orderan saya nungguin lama banget gak ada yang nerima sama sekali
terlalu banyak driver skem,1,terlalu banyak driver skem
Memuaskan,5,memuaskan
good job untuk gojek,5,good job untuk gojek
oke mantab,5,oke mantab
"untuk gofoodnya ga ngotak bgt biaya penanganannya , untuk gojek gocar ok.",2,untuk gofoodnya ga ngotak bgt biaya penanganannya  untuk gojek gocar ok
masih aman,5,masih aman
ok,5,ok
sangat membantu antar jemput anak,5,sangat membantu antar jemput anak
"cepat, nyaman dan aman",5,cepat nyaman dan aman
josss,5,josss
"sesuai kebutuhan masyarakat, top bgt",5,sesuai kebutuhan masyarakat top bgt
cuma gopay later ya ga bisa di pakai,5,cuma gopay later ya ga bisa di pakai
saya sedikit heran dengan layanan gojek saya dapat komplain dari salah satu driver mengatakan kalo rating akun gojek saya 4.15 padahal setiap kali saya order gojek... driver nya selalu saya kasih tip setiap perjalanan dan tip nya pun bukan harga kecil tapi selalu di atas 50 ribu. itupun setiap saya pesan driver tetapi saat saya pesan gofood malah di bilang rating saya 4.15,2,saya sedikit heran dengan layanan gojek saya dapat komplain dari salah satu driver mengatakan kalo rating akun gojek saya  padahal setiap kali saya order gojek driver nya selalu saya kasih tip setiap perjalanan dan tip nya pun bukan harga kecil tapi selalu di atas  ribu itupun setiap saya pesan driver tetapi saat saya pesan gofood malah di bilang rating saya 
top,5,top
"sangat membantu,memudahkan dan cepat respon",5,sangat membantumemudahkan dan cepat respon
"driver sangat ramah, dan nyaman dlm berkendara",5,driver sangat ramah dan nyaman dlm berkendara
sangat membantu utk transportasi cepat dan murah,5,sangat membantu utk transportasi cepat dan murah
aku yg terburu2 ngejar wkt...terselamatkan sm Bpk drivernya...pokoknya the best lah ..mksh y pak👍👍💪💪💪💪💪💪,5,aku yg terburu ngejar wktterselamatkan sm bpk drivernyapokoknya the best lah mksh y pak
Good,5,good
alhamdulillah aman pelayanannya baik,5,alhamdulillah aman pelayanannya baik
gausah sok asik,1,gausah sok asik
senang seklai,5,senang seklai
aplikasi ini sangat lahh nyaman kalau lagi genting,5,aplikasi ini sangat lahh nyaman kalau lagi genting
Driver nya ramah dan tidak ngebut-ngebutan.,5,driver nya ramah dan tidak ngebutngebutan
aplikasi ini sangat membantu saya dan pelayanannya baik sekali,5,aplikasi ini sangat membantu saya dan pelayanannya baik sekali
"Min, kenapa saya tidak bisa update?",1,min kenapa saya tidak bisa update
sangat amat membantu .🤗🤗,5,sangat amat membantu 
slalu ada saat dibutuhkan..huahahahahah....,5,slalu ada saat dibutuhkanhuahahahahah
lebih nyaman aman,5,lebih nyaman aman
"Dengan adanya goride Hemat saya rasa malah menyiksa driver.kasian drivernya cm dapet rp 8,500 doang",2,dengan adanya goride hemat saya rasa malah menyiksa driverkasian drivernya cm dapet rp  doang
mantap,5,mantap
udah gada gojek hematnya lagi:(,3,udah gada gojek hematnya lagi
sudah bayar lunas malahan gak bisa tarik dana aplikasi tolol,1,sudah bayar lunas malahan gak bisa tarik dana aplikasi tolol
"makin jelek pelayanan nya,,,nunggu hampir 1 jam ga ada yg ngambil orderan padahal jarak ga terlalu jauh",1,makin jelek pelayanan nyanunggu hampir  jam ga ada yg ngambil orderan padahal jarak ga terlalu jauh
2 kali ini saya dapat keluhan dari driver Gocar katanya potongan nya tinggi trus yg terakhir ini saya siminta di openin katanya sya gk ngerti maksudnya taunya udah sampe tujuan disuruh batalin trus duit nya disuruh transfer ke rek driver artinya dia gk mau pake aplikasi tolong dipertimbangkan kesejahteraan driver biar gk curang atau ngeluh mulu,4, kali ini saya dapat keluhan dari driver gocar katanya potongan nya tinggi trus yg terakhir ini saya siminta di openin katanya sya gk ngerti maksudnya taunya udah sampe tujuan disuruh batalin trus duit nya disuruh transfer ke rek driver artinya dia gk mau pake aplikasi tolong dipertimbangkan kesejahteraan driver biar gk curang atau ngeluh mulu
good aolikasi,5,good aolikasi
"bagus bangett, banyak in diskon nya dong",5,bagus bangett banyak in diskon nya dong
"1. CS lama membalas 2. tertulis transaksi di batalkan dan refund, tp saldo tidak berubah 3. CS bilang gabisa refund karna transaksi berasal dr akun dan silakan cek riwayat. pdhl di riwayat tertera REFUND namun saldo tidak dikembalikan.",1, cs lama membalas  tertulis transaksi di batalkan dan refund tp saldo tidak berubah  cs bilang gabisa refund karna transaksi berasal dr akun dan silakan cek riwayat pdhl di riwayat tertera refund namun saldo tidak dikembalikan
"Bapak Gojeknya baik sekali, sholeh. Semoga rezekinya semakin melimpah dan berkah. Aamiin Ya Rabbal alamin",5,bapak gojeknya baik sekali sholeh semoga rezekinya semakin melimpah dan berkah aamiin ya rabbal alamin
super muantap,5,super muantap
mantap sihh bermanfaat banget terimakasih,5,mantap sihh bermanfaat banget terimakasih
"Maaf saya kasih B1 untuk mewakili para driver yg kalian tindas dng segala kebijakan yg hanya menguntungkan perusahaan tanpa memperdulikan driver, terimakasih",1,maaf saya kasih b untuk mewakili para driver yg kalian tindas dng segala kebijakan yg hanya menguntungkan perusahaan tanpa memperdulikan driver terimakasih
penjemputan terlalu jauh,1,penjemputan terlalu jauh
"sulit untuk melaporkan masalah aplikasi ke CS, karna sudah diberikan pilihan. sedangkan untuk kasus baru yg tidak ada di pilihan tidak bisa dilaporkan karna tidak bisa mengetik pelaporan. masalah saya adalah ketika pesen gocar, saya diarahkan pada trek lewat tol dan lebih jauh sehingga ongkos yg harus saya bayar hampir 2 kali lipat dari seharusnya, tapi ketika pengantaran drivernya mengantar saya lewat jalur non tol, ya karna memang lebih dekat lewat non tol. tolong kedepan diberi opsi jalur.",3,sulit untuk melaporkan masalah aplikasi ke cs karna sudah diberikan pilihan sedangkan untuk kasus baru yg tidak ada di pilihan tidak bisa dilaporkan karna tidak bisa mengetik pelaporan masalah saya adalah ketika pesen gocar saya diarahkan pada trek lewat tol dan lebih jauh sehingga ongkos yg harus saya bayar hampir  kali lipat dari seharusnya tapi ketika pengantaran drivernya mengantar saya lewat jalur non tol ya karna memang lebih dekat lewat non tol tolong kedepan diberi opsi jalur
Ok,5,ok
mohon tambahan fitur lokasi ketik manual(dulu kejadian karna salah posisi sedikit terhs tidak bisa ketik manual driver marah marah karna jalan lebih jauh dan memaksa minta tip padahal saya sudah benar memasang titik),4,mohon tambahan fitur lokasi ketik manualdulu kejadian karna salah posisi sedikit terhs tidak bisa ketik manual driver marah marah karna jalan lebih jauh dan memaksa minta tip padahal saya sudah benar memasang titik
Not Bad,5,not bad
the besst,5,the besst
is oke,5,is oke
manajemen Gojek program nya bikin driver dan restoran hancur,1,manajemen gojek program nya bikin driver dan restoran hancur
Good experience,5,good experience
"aplikasi sanggat parah ,argo semakin ancur ( para drever hanya d siksa demi kepentingan aplikator ) tiapa ganti pemimpin aplikasi bukan tambah bener malah kacau",1,aplikasi sanggat parah argo semakin ancur  para drever hanya d siksa demi kepentingan aplikator  tiapa ganti pemimpin aplikasi bukan tambah bener malah kacau
memudahkan,5,memudahkan
"pelayanan baik,. sangat membantu",5,pelayanan baik sangat membantu
kode pin paket gosen bikin ribet. kalo pelanggan ngak bisa di hubungin bikin ribet driver. males bngt jadinya,3,kode pin paket gosen bikin ribet kalo pelanggan ngak bisa di hubungin bikin ribet driver males bngt jadinya
Sekarang dpt driver terutama order gosend susah bgt! mungkin karena tarif atau apa. Mau pake reguler atau promo sama2 susah. Ga seperti dulu skrg gojek.,1,sekarang dpt driver terutama order gosend susah bgt mungkin karena tarif atau apa mau pake reguler atau promo sama susah ga seperti dulu skrg gojek
"topup pun d potong! parah! dah lah makin mahal, makin lambat lg saatnya beralih",2,topup pun d potong parah dah lah makin mahal makin lambat lg saatnya beralih
tolong bantu saya top up kuota Im3 lewat gopay tidak masuk masuk sampai sekarang,1,tolong bantu saya top up kuota im lewat gopay tidak masuk masuk sampai sekarang
"hari ini tanggal 16/4 2026 d aplikasi gojek saya,, ongkir gofood tidak ada yg biasa hanya ada yg cepat Rp.20.000 an dan harganya meningkat dan hampir saya seperti harga makanan 27.000 ,, knp tidak ada ongkir yg biasa tidak bs di klik dan harus mengklik yg onkir cepat..padahal jaraknya dekat ya",5,hari ini tanggal   d aplikasi gojek saya ongkir gofood tidak ada yg biasa hanya ada yg cepat rp an dan harganya meningkat dan hampir saya seperti harga makanan   knp tidak ada ongkir yg biasa tidak bs di klik dan harus mengklik yg onkir cepatpadahal jaraknya dekat ya
menyenangkan,5,menyenangkan
"entar entar, Update.",5,entar entar update
mantab...,5,mantab
"aplikasi error tidak bisa memesan makanan di merangin,jambi",1,aplikasi error tidak bisa memesan makanan di meranginjambi
expensive and this app always make me late 👎👎👎,1,expensive and this app always make me late 
tdk bs diinstal,1,tdk bs diinstal
mantab,5,mantab
mantafff,5,mantafff
bagus sangat membatu sekali semoga makin sukses,5,bagus sangat membatu sekali semoga makin sukses
wowwww,5,wowwww
gojek tuh aneh kenapa tiap kali ngorder pasti sush pasti lama dan pasti dapet jauh dan harus nunggu lama belum lagi yg dichancel,5,gojek tuh aneh kenapa tiap kali ngorder pasti sush pasti lama dan pasti dapet jauh dan harus nunggu lama belum lagi yg dichancel
kenapa sih kalo nganterin yang dekat2 tuh dripernya gak mau narik dengan alasan ngejemput jauh terkadang kecewa sama dripernya tuh tolong di perbaiki lagi setiap aku pesan jarak dekat sopirnya jarang ada yang mau dengan alasan jauh ngejemputbya,2,kenapa sih kalo nganterin yang dekat tuh dripernya gak mau narik dengan alasan ngejemput jauh terkadang kecewa sama dripernya tuh tolong di perbaiki lagi setiap aku pesan jarak dekat sopirnya jarang ada yang mau dengan alasan jauh ngejemputbya
pelayanannya cepet,5,pelayanannya cepet
ok banget,5,ok banget
tolong area kota pati ada tambahan dr8ver gojek lagi,5,tolong area kota pati ada tambahan drver gojek lagi
mau instal,5,mau instal
tolong dong buat para customer/penumpang yang terhormat jangan terlalu sering cancel ke driver jangan suka iseng kasian para driver jadi ngaruh ke performa..kalo mau cancel mending chat dlu alasan nya apa,5,tolong dong buat para customerpenumpang yang terhormat jangan terlalu sering cancel ke driver jangan suka iseng kasian para driver jadi ngaruh ke performakalo mau cancel mending chat dlu alasan nya apa
sangat senang sekali,5,sangat senang sekali
